date_range,cluster,query,page,clicks,impressions,ctr,avg_position,country,device,branded,commercial_intent,canonical_owner,issue_class,next_action,experiment_id,evidence_class
7d,Ecosystem / brand router,DATA_PENDING,https://hermeslogisticsus.com/,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,https://hermeslogisticsus.com/,DATA_PENDING,Pull GSC query-page evidence,,UNVERIFIED
28d,Ecosystem / brand router,DATA_PENDING,https://hermeslogisticsus.com/,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,https://hermeslogisticsus.com/,DATA_PENDING,Pull GSC query-page evidence,,UNVERIFIED
7d,Carrier dispatch,DATA_PENDING,https://hermeslogisticsus.com/logistics/car-hauling-dispatch/,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,https://hermeslogisticsus.com/logistics/car-hauling-dispatch/,DATA_PENDING,URL Inspection + query-page evidence,,UNVERIFIED
28d,Carrier dispatch,DATA_PENDING,https://hermeslogisticsus.com/logistics/car-hauling-dispatch/,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,https://hermeslogisticsus.com/logistics/car-hauling-dispatch/,DATA_PENDING,URL Inspection + query-page evidence,,UNVERIFIED
7d,Dealer transport,DATA_PENDING,https://hermeslogisticsus.com/logistics/dealer-vehicle-transportation/,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,https://hermeslogisticsus.com/logistics/dealer-vehicle-transportation/,DATA_PENDING,URL Inspection + query-page evidence,,UNVERIFIED
28d,Dealer transport,DATA_PENDING,https://hermeslogisticsus.com/logistics/dealer-vehicle-transportation/,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,https://hermeslogisticsus.com/logistics/dealer-vehicle-transportation/,DATA_PENDING,URL Inspection + query-page evidence,,UNVERIFIED
7d,Auction pickup,DATA_PENDING,https://hermeslogisticsus.com/logistics/auction-vehicle-pickup/,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,https://hermeslogisticsus.com/logistics/auction-vehicle-pickup/,DATA_PENDING,URL Inspection + query-page evidence,,UNVERIFIED
28d,Auction pickup,DATA_PENDING,https://hermeslogisticsus.com/logistics/auction-vehicle-pickup/,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,https://hermeslogisticsus.com/logistics/auction-vehicle-pickup/,DATA_PENDING,URL Inspection + query-page evidence,,UNVERIFIED
7d,Local vehicle transport,DATA_PENDING,https://hermeslogisticsus.com/logistics/appleton-wi-vehicle-transport/,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,https://hermeslogisticsus.com/logistics/appleton-wi-vehicle-transport/,DATA_PENDING,Pull GSC query-page evidence,,UNVERIFIED
28d,Local vehicle transport,DATA_PENDING,https://hermeslogisticsus.com/logistics/appleton-wi-vehicle-transport/,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,https://hermeslogisticsus.com/logistics/appleton-wi-vehicle-transport/,DATA_PENDING,Pull GSC query-page evidence,,UNVERIFIED
7d,SEO services,DATA_PENDING,https://hermeslogisticsus.com/services/seo/,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,https://hermeslogisticsus.com/services/seo/,DATA_PENDING,URL Inspection + query-page evidence,,UNVERIFIED
28d,SEO services,DATA_PENDING,https://hermeslogisticsus.com/services/seo/,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,https://hermeslogisticsus.com/services/seo/,DATA_PENDING,URL Inspection + query-page evidence,,UNVERIFIED
7d,Website development,DATA_PENDING,https://hermeslogisticsus.com/services/website-development/,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,https://hermeslogisticsus.com/services/website-development/,DATA_PENDING,URL Inspection + query-page evidence,,UNVERIFIED
28d,Website development,DATA_PENDING,https://hermeslogisticsus.com/services/website-development/,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,https://hermeslogisticsus.com/services/website-development/,DATA_PENDING,URL Inspection + query-page evidence,,UNVERIFIED
7d,Academy logistics,DATA_PENDING,https://hermeslogisticsus.com/academy/us-logistics-operations/,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,https://hermeslogisticsus.com/academy/us-logistics-operations/,DATA_PENDING,URL Inspection + query-page evidence,,UNVERIFIED
28d,Academy logistics,DATA_PENDING,https://hermeslogisticsus.com/academy/us-logistics-operations/,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,https://hermeslogisticsus.com/academy/us-logistics-operations/,DATA_PENDING,URL Inspection + query-page evidence,,UNVERIFIED
