week_start,week_end,timezone,direction,metric,value,prior_value,delta,evidence_class,source_status,decision,next_action
DATA_PENDING,DATA_PENDING,DATA_PENDING,Logistics carrier,unique_delivered_inquiries,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,WAIT_FOR_DATA,Reconcile receiver aggregate
DATA_PENDING,DATA_PENDING,DATA_PENDING,Logistics carrier,qualified_inquiries,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,WAIT_FOR_DATA,Reconcile private human review
DATA_PENDING,DATA_PENDING,DATA_PENDING,Logistics dealer_transport,unique_delivered_inquiries,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,WAIT_FOR_DATA,Reconcile receiver aggregate
DATA_PENDING,DATA_PENDING,DATA_PENDING,Logistics dealer_transport,qualified_inquiries,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,WAIT_FOR_DATA,Reconcile private human review
DATA_PENDING,DATA_PENDING,DATA_PENDING,Marketing_SEO,qualified_inquiries,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,WAIT_FOR_DATA,Reconcile private human review
DATA_PENDING,DATA_PENDING,DATA_PENDING,IT_website,qualified_inquiries,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,WAIT_FOR_DATA,Reconcile private human review
DATA_PENDING,DATA_PENDING,DATA_PENDING,Academy,qualified_program_reviews,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,DATA_PENDING,WAIT_FOR_DATA,Keep Academy separate from customer revenue
DATA_PENDING,DATA_PENDING,DATA_PENDING,Search,nonbranded_clicks,DATA_PENDING,DATA_PENDING,DATA_PENDING,PLATFORM_VERIFIED_REQUIRED,GSC_DATA_PENDING,WAIT_FOR_DATA,Pull authenticated GSC 7d data
DATA_PENDING,DATA_PENDING,DATA_PENDING,Search,impressions,DATA_PENDING,DATA_PENDING,DATA_PENDING,PLATFORM_VERIFIED_REQUIRED,GSC_DATA_PENDING,WAIT_FOR_DATA,Pull authenticated GSC 7d data
DATA_PENDING,DATA_PENDING,DATA_PENDING,Search,ctr,DATA_PENDING,DATA_PENDING,DATA_PENDING,PLATFORM_VERIFIED_REQUIRED,GSC_DATA_PENDING,WAIT_FOR_DATA,Pull authenticated GSC 7d data
DATA_PENDING,DATA_PENDING,DATA_PENDING,Technical,production_seo_hygiene,PASS_2026-08-11,DATA_PENDING,DATA_PENDING,REPOSITORY_VERIFIED,LIVE_PUBLIC_READ,KEEP,Re-run after material SEO release
DATA_PENDING,DATA_PENDING,DATA_PENDING,Performance,mobile_lcp_lab,DATA_PENDING,3.0s,DATA_PENDING,LAB_MEASUREMENT_PENDING,LIGHTHOUSE_PENDING,WAIT_FOR_DATA,Run issue 354 production Lighthouse command
DATA_PENDING,DATA_PENDING,DATA_PENDING,Performance,mobile_lcp_field,DATA_PENDING,DATA_PENDING,DATA_PENDING,PLATFORM_VERIFIED_REQUIRED,CRUX_DATA_PENDING,WAIT_FOR_DATA,Do not fill from Lighthouse
